"variation","variation","variation","variation","hidden","textlist","textbox","select","select","select","select","select","select","select","select","select","select","select","select","select","select","textlist","select","select","select"
"Shoes.VariationData.Parentage","Shoes.VariationData.Size","Shoes.VariationData.Color","Shoes.VariationData.VariationTheme",,,,"Shoes.ClassificationData.ColorMap","Shoes.ClassificationData.ArchType","Shoes.ClassificationData.ShoeClosureType","Shoes.ClassificationData.CleatDescription","Shoes.ClassificationData.CleatMaterialType","Shoes.ClassificationData.Department","Shoes.ClassificationData.FabricType","Shoes.ClassificationData.HeelType","Shoes.ClassificationData.OccasionAndLifestyle","Shoes.ClassificationData.PatternStyle","Shoes.ClassificationData.PlatformHeight","Shoes.ClassificationData.ShoeHeightMap","Shoes.ClassificationData.SoleMaterial","Shoes.ClassificationData.StrapType","Shoes.ClassificationData.SpecialFeatures","Shoes.ClassificationData.WaterResistanceLevel","Shoes.ClassificationData.StyleKeywords","Shoes.ClassificationData.ToeStyle"
"parentage","Size","Color","VariationTheme",,"search-terms",,"ColorMap","ArchType","ShoeClosureType","CleatDescription","CleatMaterialType","Department","FabricType","HeelType","OccasionAndLifestyle","PatternStyle","PlatformHeight","ShoeHeightMap","SoleMaterial","StrapType","SpecialFeatures","WaterResistanceLevel","StyleKeywords","ToeStyle"
"Text","Text","Text","Text",,,,"Text","Text","Text","Text","Text","Text","Text","Text","Text","Text","Text","Text","Text","Text","Textlist","Text","Textlist","Text"
,,,,,"search terms","Item Type","Color Map","Arch Type","Shoe Closure Type","Cleat Description","Cleat Material Type","Department","Material Fabric Type","Heel Type","Occasion and Lifestyle","Pattern Style","Platform Height","Shoe Height Map","Sole Material","Shoe Strap Type","Special Features","Water Resistance Level","Style Keyword","Toe Style"
,,,,,,,"pink",,,,,,"leather",,"professional","studded","3.25""",,"wood",,,,"dance-ballet-flat",
,,,,,,,"purple",,,,,,"leather-and-fabric",,"rain","woven","3.50""",,,,,,"dance-ballet-pointe",
,,,,,,,"red",,,,,,"leather-and-mesh",,"snow",,"3.75""",,,,,,"dance-ballroom",
,,,,,,,"silver",,,,,,"leather-and-rubber",,"work-utility",,"4.00""",,,,,,"dance-character",
,,,,,,,"transparent",,,,,,"leather-and-synthetic",,"yoga",,"4.25""",,,,,,"dance-jazz",
,,,,,,,"turquoise",,,,,,"lizard",,,,"4.50""",,,,,,"dance-modern",
,,,,,,,"white",,,,,,"mesh",,,,"4.75""",,,,,,"dance-sneakers",
,,,,,,,"yellow",,,,,,"microfiber",,,,"5.00""",,,,,,"dance-tap",
,,,,,,,,,,,,,"nubuck",,,,"5.25""",,,,,,"d-orsay",
,,,,,,,,,,,,,"patent-leather",,,,"5.50""",,,,,,"engineer",
,,,,,,,,,,,,,"polyester",,,,"5.75""",,,,,,"espadrille",
,,,,,,,,,,,,,"rubber",,,,"6.00""",,,,,,"fisherman",
,,,,,,,,,,,,,"satin",,,,,,,,,,"flats-cycling-shoes",
,,,,,,,,,,,,,"silk",,,,,,,,,,"gladiator",
,,,,,,,,,,,,,"sheepskin",,,,,,,,,,"flip-flop",
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"snakeskin",,,,,,,,,,"harness",
,,,,,,,,,,,,,"suede",,,,,,,,,,"huarache",
,,,,,,,,,,,,,"synthetic",,,,,,,,,,"jelly",
,,,,,,,,,,,,,"synthetic-and-fabric",,,,,,,,,,"mary-jane",
,,,,,,,,,,,,,"synthetic-and-leather",,,,,,,,,,"moccasin",
,,,,,,,,,,,,,"synthetic-and-mesh",,,,,,,,,,"monk-strap",
,,,,,,,,,,,,,"synthetic-and-rubber",,,,,,,,,,"motorcycle",
,,,,,,,,,,,,,"velvet",,,,,,,,,,"mountain-biking",
,,,,,,,,,,,,,"wood",,,,,,,,,,"mule",
,,,,,,,,,,,,,"wool",,,,,,,,,,"penny-loafer",
,,,,,,,,,,,,,,,,,,,,,,,"platform",
,,,,,,,,,,,,,,,,,,,,,,,"racing-flats",
,,,,,,,,,,,,,,,,,,,,,,,"riding",
,,,,,,,,,,,,,,,,,,,,,,,"road-biking",
,,,,,,,,,,,,,,,,,,,,,,,"running-minimal",
,,,,,,,,,,,,,,,,,,,,,,,"running-spikes",
,,,,,,,,,,,,,,,,,,,,,,,"scuff",
,,,,,,,,,,,,,,,,,,,,,,,"shearling",
,,,,,,,,,,,,,,,,,,,,,,,"slide",
,,,,,,,,,,,,,,,,,,,,,,,"slouch",
,,,,,,,,,,,,,,,,,,,,,,,"spectator",
,,,,,,,,,,,,,,,,,,,,,,,"sports-fan",
,,,,,,,,,,,,,,,,,,,,,,,"toe-ring",
,,,,,,,,,,,,,,,,,,,,,,,"toner",
,,,,,,,,,,,,,,,,,,,,,,,"track-shoes",
,,,,,,,,,,,,,,,,,,,,,,,"triathalon-multi-sport",
,,,,,,,,,,,,,,,,,,,,,,,"tuxedo",
,,,,,,,,,,,,,,,,,,,,,,,"wedges",
,,,,,,,,,,,,,,,,,,,,,,,"western",
,,,,,,,,,,,,,,,,,,,,,,,"mountaineering",
,,,,,,,,,,,,,,,,,,,,,,,"trail-running",
