# Syntax: categoryname\t	flag\t	directory\t	market name\t	width\t	height\t
Simple	L1	katt001	Turquoise	128	38
Styled	L1	katt002	Messy Orange	112	37
Styled	L1	katt003	Fuzzy Blue	128	36
Styled	L1	katt004	Fuzzy Purple	104	33
Styled	L1	katt005	Striped Blue	100	36
Styled	L1	katt006	Raised Yellow	92	31
Styled	L1	katt007	Orange Taffy	76	29
Styled	L1	katt008	Stiff Yellow	72	26
Gradient	L1	katt009	Fading Purple	56	21
Styled	L1	katt010	Fuzzy Brown	68	29
Styled	L1	katt011	Atari	84	27
Gradient	L1	katt012	Styled Fading Purple	68	18
Styled	L1	katt013	Leaning Blue	64	35
Objects	L1	katt014	Cold War	80	35
Styled	L1	katt015	Metallic	80	21
Styled	L1	katt016	Dirty Yellow	96	35
Styled	L1	katt017	Striped Purple	72	35
Styled	L1	katt018	Rocket Numbers	80	40
Styled	L1	katt019	Digitized Fuzz	84	36
Simple	L1	katt020	Plain Old Purple	80	29
Simple	L1	katt021	Natures Green	84	30
Misc	L1	katt022	Watery	88	33
Misc	L1	katt023	Fancy Yellow	88	33
Misc	L1	katt024	3-D Spotted Red	136	37
Misc	L1	katt025	3-D Yellow	128	39
Misc	L1	katt026	Fancy Light Brown	84	28
Misc	L1	katt027	Wiggly	100	35
Misc	L1	katt028	Black Outlined Yellow	120	44
Misc	L1	katt029	Purple Spray Paint	88	34
Misc	L1	katt030	Broken Up	64	28
Misc	L1	katt031	Glowing Red	76	25
Misc	L1	katt032	Street Address	72	29
Misc	L1	katt033	Blue Mud	72	26
Misc	L1	katt034	Spoted Turquoise	68	22
Misc	L1	katt035	Finished Metal	68	27
Misc	L1	katt036	Bloody	72	29
Misc	L1	katt037	Blue Shadow	128	32
Misc	L1	katt038	Yellow Shadow	128	36
Misc	L1	katt039	Spotted Pink	104	35
Misc	L1	katt040	Grey Blocks	76	20
Misc	L1	katt041	Green Balloons	228	57
Misc	L1	katt042	Little Blue	68	19
Misc	L1	katt043	Little Pastel Green	68	19
Misc	L1	katt044	Ocean Sunrise	68	19
Misc	L1	katt045	Stiff Blue	80	28
Misc	L1	katt046	Stiff Dark Blue	80	28
Misc	L1	katt047	Hollow Green	80	28
Misc	L1	katt048	1/2 Full Red	92	37
Misc	L1	katt049	1/2 Full with Milk	112	46
Misc	L1	katt050	Skinny Stamped Blue	92	37
Misc	L1	katt051	Fancy Orange	88	41
Misc	L1	katt052	Simpsons	128	45
Misc	L1	katt053	Fancy Rainbow	112	42
Misc	L1	katt054	Sesame Street	108	41
Misc	L1	katt055	Rebound Orange	92	53
Misc	L1	katt056	Wacky	104	38
Misc	L1	katt057	Red Starburst	116	39
Charicatures	L1	katt058	Blue People	164	80
Charicatures	L1	katt059	Earthy People	136	69
Misc	L1	katt060	Raised Fading Purple	96	45
Misc	L1	katt061	Fuzzy Colors	76	38
Misc	L1	katt062	Bold Shapes	136	44
Misc	L1	katt063	Pastel Shapes	144	45
Misc	L1	katt064	Outlined Water	116	34
Misc	L1	katt065	Long Green and Purple	180	33
Misc	L1	katt066	3-D Calligraphy 	84	35
Misc	L1	katt067	Wiggly Fading Red	92	37
Charicatures	L1	katt068	Sk8ers	132	54
Misc	L1	katt069	Cityscape	116	46
Misc	L1	katt070	Spotted Light Blue	96	48
Misc	L1	katt071	Funky Zoo	92	66
Misc	L1	katt072	Starz	164	49
Misc	L1	katt073	4th of July	156	49
Misc	L1	katt074	Purple Camouflage	112	42
Misc	L1	katt075	Chopped Red Fabric	116	47
Misc	L1	katt076	Year 3000	92	48
Misc	L1	katt077	Hallmark Love Letter	104	48
Misc	L1	katt078	Glowing Jelly Spots	120	47
Misc	L1	katt079	GI Joe	120	40
Misc	L1	katt080	Solid Yellow	96	50
Misc	L1	katt081	Spray Paint Blue	84	46
Misc	L1	katt082	Spray Paint Purple	80	32
Misc	L1	katt085	Moldy Blue	84	40
Misc	L1	katt086	Striking Orange	76	43
Misc	L1	katt087	Banded Red	92	37
Misc	L1	katt088	Funky Yellow	92	37
Misc	L1	katt089	Gross Brown	88	37
Misc	L1	katt090	Shakey Yellow	108	37
Misc	L1	katt091	Picasso Red	128	47
Misc	L1	katt092	Faded Blue	76	60
Misc	L1	katt093	Virtical Shudders	96	43
Misc	L1	katt094	Taking Off	64	45
Objects	L1	katt095	Paperclips	132	41
Misc	L1	katt096	Green Calico	104	39
Misc	L1	katt097	Orange Calico	112	38
Misc	L1	katt098	Key Pad	180	44
Misc	L1	katt100	Little Squirly	84	41
Misc	L1	katt101	Military Numbers	108	37
Misc	L1	katt102	Water Paint	80	28
Misc	L1	katt103	Stenciled Pastel	84	31
Misc	L1	katt104	Stenciled Water Paint	92	32
Misc	L1	katt105	Neon Stencil	92	31
Misc	L1	katt106	Bunker	108	30
Misc	L1	katt107	Blue Zoom	124	39
Misc	L1	katt108	Orange Zoom	132	27
Misc	L1	katt109	Yellow Zoom	176	28
Misc	L1	katt111	Rising Sun	76	46
Misc	L1	katt112	Flower Fields	88	45
Misc	L1	katt113	Fog	88	25
Misc	L1	katt114	Checkers	128	26
Misc	L1	katt115	Out of Focus	96	28
Misc	L1	katt116	Kiddies-R-Us	128	45
Misc	L1	katt117	Canvas	140	44
Misc	L1	katt118	Bad Tattoo	116	40
Misc	L1	katt119	Mixed Colors	88	34
Misc	L1	katt120	See Threw Glass	88	35
Misc	L1	katt121	Yellow Hanger	128	36
Misc	L1	katt122	Glass Hanger	132	35
Misc	L1	katt123	Hot Hanger	132	40
Misc	L1	katt124	Iced Hot Hanger	168	47
Misc	L1	katt125	Blue Hanger	120	36
Misc	L1	katt126	Pear Shape	80	36
Misc	L1	katt127	Dominoes	92	42
Misc	L1	katt128	Pain Green	92	29
Misc	L1	katt129	Plain Yellow	84	30
Misc	L1	katt130	Road Kill	88	36
Misc	L1	katt131	Green and Purple M&Ms	100	36
Misc	L1	katt132	Woodys	100	28
Misc	L1	katt133	Brick Wall	108	30
